id,name
1,Newman Building
2,Global Lounge
3,O'Brien Centre for Science
4,Health Sciences Centre
5,School of Computer Science
6,UCD Village
7,James Joyce Library
8,Tierney Building
9,Student Union
10,Sports Centre
11,Tennis Courts
12,Church
13,Agriculture and Food Science Centre
14,Centre for English and Global Languages
15,School of Arts and Humanities
16,School of Geography
17,Quinn School of Business
18,Sutherland School of Law
19,Geary Institute for Public Policy
20,Humanities Institute
21,Ashfield Residence
22,Roebuck Castle
23,Roebuck Hall Student Residence
24,Village Halls
25,Merville Residence
26,Glenomena Residence
27,UCD Bus Station
28,St. Stephens Chaplaincy
29,UCD Confucius Institute of Ireland
30,School of Mechanical and Materials Engineering
31,UCD Lake
32,Hockey Stadium
